what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332131303493
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332131350340
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332131372913
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1332131459293
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332131466426
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332131505412
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332131517697
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1332131525358
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332131528209
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1332131534115
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332131535811
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.open.editor",1332131535867
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332131543954
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332132988846
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332133014004
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332133056007
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332133109648
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332133195032
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332133477618
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332133765255
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332133875523
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332133909368
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332133916011
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332133936993
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332133967614
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332134005120
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332134008703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332134066608
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332134067977
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332134341605
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1332134341802
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1332134347827
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1332134348295
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332134349332
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1332134350023
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1332134350067
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332134391837
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332134414387
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332134482666
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332134618581
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332134619400
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332134652191
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332134656555
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332134663435
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332134677982
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1332134678035
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332134685580
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332134689016
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1332134715464
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332134719704
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.open.editor",1332134719761
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332134797162
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1332134799676
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332134806062
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.open.editor",1332134806143
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332134822468
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1332134846034
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332134849048
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332134882875
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332134885037
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332134902318
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332134908894
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.SourceView",1332135057603
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332135060074
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332135135423
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1332135204461
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332135375264
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332135936328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332135953567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332137487646
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332137488580
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1332137494191
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1332137494241
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1332137494288
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1332137494332
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1332137494367
